child_id,parent_id,match,word_jaccard_sim,tax_overlap_count,num_overlap_count,common_word_count
1009295,667719,1,0.1111111111111111,7,1,10
1009295,1287805,0,0.039735099337748346,5,0,6
1009295,1407409,0,0.055248618784530384,6,0,10
1009295,1217372,0,0.01832460732984293,5,1,7
1009295,667928,0,0.043668122270742356,6,0,10
1009295,1246669,0,0.03982300884955752,5,1,9
1009295,1214599,0,0.0481283422459893,5,1,9
1009295,1059301,0,0.03389830508474576,5,0,6
1009295,1140343,0,0.0502283105022831,7,0,11
1009295,1179590,0,0.04980842911877394,6,2,13
1009295,769607,0,0.05161290322580645,6,0,8
1009295,735847,0,0.03278688524590164,5,0,6
1009295,1362135,0,0.05813953488372093,6,1,10
1009295,1280464,0,0.04891304347826087,5,0,9
1009295,1406457,0,0.06666666666666667,6,0,13
1009295,667321,0,0.04524886877828054,6,0,10
1009295,959968,0,0.039603960396039604,6,0,8
1009295,970043,0,0.01049618320610687,6,1,11
1009295,1264315,0,0.03076923076923077,5,0,6
1009295,861372,0,0.043478260869565216,6,1,10
1009295,1044771,0,0.041666666666666664,5,1,7
1009295,1338693,0,0.04580152671755725,5,0,6
1009295,781071,0,0.01818181818181818,6,1,10
1009295,696902,0,0.017777777777777778,7,0,12
1009295,1341518,0,0.056910569105691054,5,1,7
1037677,1036850,1,0.14814814814814814,16,2,28
1037677,1014813,0,0.11057692307692307,12,1,23
1037677,1349684,0,0.13227513227513227,16,0,50
1037677,973652,0,0.08695652173913043,7,2,14
1037677,1267922,0,0.13333333333333333,20,0,48
1037677,898967,0,0.10599078341013825,10,1,23
1037677,1386863,0,0.13448275862068965,18,2,39
1037677,1267531,0,0.11063829787234042,12,2,26
1037677,1203075,0,0.1111111111111111,10,1,24
1037677,1371379,0,0.11072664359861592,13,1,32
1037677,1279921,0,0.12462006079027356,17,3,41
1037677,1349429,0,0.14982578397212543,15,0,43
1037677,1328778,0,0.1494661921708185,16,1,42
1037677,1229967,0,0.125,16,2,43
1037677,950507,0,0.11313868613138686,18,0,31
1037677,667941,0,0.1318051575931232,17,1,46
1037677,1100716,0,0.1111111111111111,12,1,28
1037677,1045489,0,0.12538226299694188,15,3,41
1037677,1274642,0,0.12258064516129032,14,1,38
1037677,1245650,0,0.12937062937062938,14,0,37
1037677,1230722,0,0.1456953642384106,14,2,44
1037677,1249490,0,0.1,14,0,31
1037677,1467635,0,0.13573407202216067,15,0,49
1037677,668009,0,0.10931174089068826,13,0,27
1037677,820353,0,0.08071748878923767,9,0,18
1038263,1036850,1,0.12195121951219512,7,1,10
1038263,1293854,0,0.04838709677419355,8,1,12
1038263,1304181,0,0.06741573033707865,7,0,12
1038263,727023,0,0.05343511450381679,7,0,7
1038263,1241164,0,0.09900990099009901,7,1,10
1038263,1072536,0,0.04329004329004329,7,1,10
1038263,1014525,0,0.06060606060606061,7,1,10
1038263,858270,0,0.05660377358490566,7,0,9
1038263,1248256,0,0.05687203791469194,7,1,12
1038263,1098978,0,0.04564315352697095,8,1,11
1038263,1296086,0,0.031818181818181815,6,0,7
1038263,1332231,0,0.03409090909090909,7,1,9
1038263,955088,0,0.06535947712418301,7,1,10
1038263,1437664,0,0.05128205128205128,6,1,8
1038263,720565,0,0.05142857142857143,7,0,9
1038263,1384654,0,0.041666666666666664,7,1,10
1038263,877834,0,0.06043956043956044,8,0,11
1038263,1254316,0,0.04854368932038835,7,1,10
1038263,769608,0,0.1111111111111111,7,0,9
1038263,782723,0,0.029288702928870293,6,0,7
1038263,873802,0,0.04568527918781726,7,0,9
1038263,925964,0,0.057971014492753624,6,0,8
1038263,1255675,0,0.05649717514124294,6,1,10
1038263,697330,0,0.031496062992125984,8,0,12
1038263,932810,0,0.056451612903225805,6,0,7
1038850,1036850,1,0.11904761904761904,15,3,25
1038850,1333346,0,0.1016260162601626,11,2,25
1038850,1072537,0,0.19827586206896552,19,4,69
1038850,1194461,0,0.12526997840172785,18,3,58
1038850,1266790,0,0.15770609318996415,14,4,44
1038850,714530,0,0.12154696132596685,17,2,44
1038850,982013,0,0.12041884816753927,15,2,46
