child_id,parent_id,match,sbert_sim,word_jaccard_sim,tax_overlap_count,num_overlap_count,common_word_count
1009295,667719,1,0.5846314430236816,0.07692307692307693,2,1,5
1009295,992565,0,0.5391334891319275,0.01675977653631285,1,1,3
1009295,1288789,0,0.4263787865638733,0.0,0,0,0
1009295,1319405,0,0.27794933319091797,0.0213903743315508,1,0,4
1009295,1450134,0,0.5758992433547974,0.006024096385542169,0,0,1
1009295,1137258,0,0.24280038475990295,0.013452914798206279,0,0,3
1009295,1344020,0,0.2893866300582886,0.0,0,0,0
1009295,1214923,0,0.35111021995544434,0.016355140186915886,1,2,7
1009295,1440096,0,0.45081213116645813,0.015151515151515152,0,0,2
1009295,1467636,0,0.6438194513320923,0.03636363636363636,0,0,4
1009295,922339,0,0.32068270444869995,0.0234375,1,0,3
1009295,852435,0,0.4422258138656616,0.01282051282051282,0,1,1
1009295,1394801,0,0.31904494762420654,0.020833333333333332,0,0,3
1009295,1254317,0,0.43743976950645447,0.029411764705882353,1,1,4
1009295,1153798,0,0.4680832028388977,0.028368794326241134,2,1,4
1009295,776404,0,0.262836754322052,0.006211180124223602,1,0,3
1009295,1158037,0,0.3365831971168518,0.020134228187919462,0,0,3
1009295,767635,0,0.39821183681488037,0.020833333333333332,0,1,3
1009295,989039,0,0.4370843768119812,0.008241758241758242,1,0,3
1009295,1360314,0,0.4114530086517334,0.006802721088435374,0,0,1
1009295,1394732,0,0.4179241359233856,0.022058823529411766,1,0,3
1009295,1328122,0,0.23525170981884003,0.00558659217877095,0,0,1
1009295,667968,0,0.5807516574859619,0.012195121951219513,0,1,3
1009295,873314,0,0.5085389614105225,0.0,0,0,0
1009295,1084906,0,0.40926337242126465,0.0163265306122449,0,1,4
1037677,1036850,1,0.7692902088165283,0.09285714285714286,5,2,13
1037677,848118,0,0.47749269008636475,0.06761565836298933,4,1,19
1037677,1115974,0,0.41895943880081177,0.05687203791469194,2,2,12
1037677,735910,0,0.4322783350944519,0.022598870056497175,2,0,4
1037677,1009846,0,0.3073244094848633,0.03861003861003861,3,2,10
1037677,1072537,0,0.8465574979782104,0.13026819923371646,6,5,34
1037677,1216510,0,0.5465788245201111,0.08620689655172414,3,1,20
1037677,1325215,0,0.41945621371269226,0.044444444444444446,3,2,8
1037677,1366612,0,0.4488202929496765,0.055,2,2,11
1037677,978342,0,0.43172070384025574,0.04304635761589404,2,2,13
